"eventId","category","location","startDate","startTime","maxVolunteers","requiredSkillId","attendance_count"
"26","Environment","Negombo Beach","2026-02-21","09:00:00","30","6","8"
"27","Community","Raddolugama Public Library","2026-02-21","15:00:00","20","0","6"
"28","Education","Alawathupitiya School","2026-02-21","19:00:00","8","1","0"
"29","Health","Raddolugama Primary School","2026-02-23","12:30:00","20","3","7"
"30","Community","Alawathupitiya School","2026-02-23","18:00:00","20","12","18"
"31","Environment","Alawathupitiya Temple","2026-02-24","12:30:00","20","6","12"
"32","Health","Alawathupitiya Temple","2026-02-25","06:00:00","30","0","10"
"33","Community","Alawathupitiya Temple","2026-02-25","13:30:00","30","6","12"
"34","Community","Alawathupitiya School","2026-02-25","17:30:00","15","12","10"
"35","Community","Alawathupitiya School","2026-02-25","06:35:00","6","12","3"
"36","Community","Alawathupitiya Temple","2026-02-25","19:40:00","3","0","2"
"37","Charity","Alawathupitiya School","2026-02-25","19:30:00","3","5","2"
"38","Arts & Culture","Alawathupitiya School","2026-02-25","20:05:00","5","8","2"
"39","Sports","Nawaloka Playground","2026-02-25","20:35:00","5","0","4"
"40","Animal Welfare","Uswetakeiyawa Beach","2026-02-25","21:05:00","10","3","4"
"41","Charity","Alawathupitiya ","2026-02-25","21:35:00","5","6","0"
"42","Technology","Alawathupitiya","2026-02-25","22:05:00","11","11","4"
"43","Education","Alawathupitiya ","2026-02-25","22:30:00","5","2","0"
"44","Charity","Alawathupitiya ","2026-02-25","23:05:00","3","4","2"
"45","Arts & Culture","Alawathupitiya ","2026-02-25","11:35:00","2","6","0"
"46","Environment","Alawathupitiya ","2026-02-26","00:00:00","6","4","2"
"47","Health","Alawathupitiya Temple","2026-02-26","01:00:00","10","0","3"
"48","Environment","Seeduwa","2026-02-26","02:00:00","12","6","0"
"49","Arts & Culture","Seeduwa","2026-02-26","03:05:00","5","1","0"
"50","Community","Alawathupitiya Temple","2026-02-26","05:00:00","6","2","2"
"51","Health","Alawathupitiya Temple","2026-02-26","06:00:00","5","2","3"
"52","Environment","Negombo Beach","2026-02-26","11:00:00","20","6","2"
"53","Health","Davi Samara Maha Vidyalaya","2026-02-26","12:00:00","20","3","5"
"54","Sports","Maris Stella College | Playground","2026-02-26","12:00:00","10","7","0"
"55","Charity","Guruge Nature Park","2026-02-26","13:35:00","10","4","2"
"56","Community","Seeduwa Happy Kids Pre-School","2026-02-26","01:00:00","7","7","0"
"57","Technology","Ave Maria Convent, Bolawalana","2026-02-26","14:00:00","2","11","3"
"58","Environment","Davi Samara Maha Vidyalaya","2026-02-26","15:00:00","10","6","5"
"59","Environment","Seeduwa Railway Station","2026-02-26","15:30:00","12","6","1"
"60","Sports","Raddolugama Ground Pavilion","2026-02-26","16:00:00","3","2","2"
"61","Charity","Raddolugama Primary School","2026-02-26","16:30:00","5","10","0"
"62","Environment","Negombo Beach","2026-02-26","17:30:00","8","6","4"
"63","Arts & Culture","Loyola College Negombo","2026-02-26","18:05:00","6","2","2"
"64","Animal Welfare","Alawathupitiya ","2026-02-26","18:35:00","5","3","2"
"65","Sports","Alawathupitiya School","2026-02-26","19:00:00","3","11","2"
"66","Community","St.Anne's School","2026-02-26","19:20:00","5","1","0"
"67","Community","Alawathupitiya Temple","2026-02-26","20:30:00","8","6","3"
"68","Community","Community Center - Liyanagemulla","2026-02-26","21:30:00","4","2","0"
"69","Education","Community Center - Liyanagemulla","2026-02-26","22:05:00","10","1","3"
"70","Sports","Alawathupitiya ","2026-02-26","22:45:00","3","4","0"
"71","Arts & Culture","Amandoluwa Maha Vidyalaya","2026-02-26","23:05:00","4","7","3"
"72","Environment","Negombo Beach","2026-02-27","17:00:00","7","6","3"
"73","Community","Seeduwa Railway Station","2026-02-27","17:00:00","6","2","2"
"74","Education","Headway Cricket Academy Negombo","2026-02-27","17:35:00","5","4","2"
"75","Health","Alawathupitiya Temple","2026-02-27","17:35:00","4","2","1"
"76","Health","Negombo Municipal Council","2026-02-27","18:05:00","5","9","0"
"79","Charity","Negombo Beach","2026-03-01","09:00:00","5","5","2"
"80","Education","Maris Stella College Negombo","2026-03-01","09:00:00","8","4","3"
"81","Education","Dialog Axiata Experience Center - Negombo","2026-03-01","09:00:00","2","8","0"
"82","Environment","Alawathupitiya School","2026-03-01","09:30:00","6","6","0"
"83","Health","District General Hospital Negombo","2026-03-01","10:05:00","5","9","0"
"84","Health","District General Hospital Negombo","2026-03-01","10:35:00","6","3","2"
"85","Community","Amandoluwa Maha Vidyalaya","2026-03-01","10:35:00","5","12","1"
"86","Sports","Seeduwa Happy Kids Pre-School (Since 1998)","2026-03-01","10:45:00","5","10","1"
"87","Arts & Culture","Dr. Kulasinghe College Udammita, Sri Lanka","2026-03-01","11:05:00","3","8","2"
"88","Community","Dr. Kulasinghe College Udammita, Sri Lanka","2026-03-01","11:00:00","3","5","0"
"89","Sports","Nawaloka Playground","2026-03-01","11:35:00","5","7","3"
"90","Animal Welfare","Negombo Animal Hospital","2026-03-01","11:35:00","8","3","4"
"91","Charity","Ranmuthugala Temple","2026-03-01","11:35:00","0","1","2"
"92","Animal Welfare","Negombo Animal Hospital","2026-03-01","12:00:00","2","3","2"
"93","Sports","Ave Maria Convent, Bolawalana","2026-03-01","12:00:00","3","1","2"
"94","Charity","Seeduwa","2026-03-01","12:00:00","5","6","0"
"95","Community","Seeduwa","2026-03-01","12:35:00","4","6","0"
"96","Environment","Diyasaru Park","2026-03-01","13:00:00","5","6","1"
"97","Technology","Kandana","2026-03-01","13:00:00","3","11","3"
"98","Community","Negombo Beach","2026-03-01","13:00:00","3","10","3"
"99","Community","Koturupa Sri Pushparama Viharaya","2026-03-01","13:00:00","5","12","0"
"100","Technology","De Mazenod College Playground","2026-03-01","13:30:00","3","7","3"
"101","Community","Sri Subodarama Purana maha Viharaya. ","2026-03-01","13:35:00","8","12","3"
"102","Community","Sri Subodarama Purana maha Viharaya.","2026-03-01","14:05:00","5","6","2"
"103","Charity","Alawathupitiya Temple","2026-03-01","14:05:00","10","6","0"
"104","Sports","Nawaloka Playground","2026-03-01","14:05:00","3","4","2"
"105","Health","District General Hospital Negombo","2026-03-01","16:00:00","3","3","3"
"106","Community","Community Center - Liyanagemulla","2026-03-01","16:00:00","3","2","2"
"107","Technology","Ave Maria Convent, Bolawalana","2026-03-01","16:00:00","3","11","0"
"108","Sports","Alawathupitiya ","2026-03-01","16:35:00","5","4","0"
"109","Community","Negombo ","2026-03-01","16:30:00","5","2","0"
"110","Arts & Culture","Loyola College Negombo","2026-03-01","17:00:00","5","12","2"
"111","Charity","Raddolugama Primary School","2026-03-01","17:00:00","2","10","1"
"112","Charity","Raddolugama Primary School","2026-03-01","18:00:00","2","2","0"
"113","Charity","Alawathupitiya ","2026-03-01","19:00:00","3","4","2"
"114","Health","Alawathupitiya Temple","2026-03-02","05:00:00","10","12","3"
"115","Health","Alawathupitiya Temple","2026-03-02","06:05:00","5","2","3"
"116","Community","Negombo ","2026-03-02","06:05:00","3","2","0"
"117","Community","Sri pabodhanaramaya Viharaya","2026-03-02","06:05:00","5","6","1"
"118","Environment","Negombo Beach","2026-03-02","07:05:00","10","6","2"
"119","Education","Seeduwa","2026-03-02","07:05:00","3","8","2"
"120","Charity","Raddolugama Primary School","2026-03-02","07:05:00","3","10","0"
"121","Technology","Ave Maria Convent, Bolawalana","2026-03-02","08:05:00","3","11","1"
"122","Sports","De Mazenod College Playground","2026-03-02","08:05:00","4","1","1"
"123","Environment","Negombo Beach","2026-03-02","09:05:00","3","6","0"
"124","Education","Headway Cricket Academy Negombo","2026-03-02","10:05:00","5","4","3"
"125","Charity","Ranmuthugala Temple","2026-03-02","10:05:00","5","1","2"
"126","Health","District General Hospital Negombo","2026-03-02","12:00:00","3","3","2"
"127","Community","Seeduwa Railway Station","2026-03-02","13:00:00","4","6","0"
"128","Sports","Raddolugama Ground Pavilion","2026-03-02","15:00:00","5","4","2"
